Gene Symbol	type	Groups	ASB9	ATG3	ATG7	BARD1	BIRC6	BUB3	CHD3	CHD4	COPA	COPB2	COPS6	CORO1B	CORO7	CPNE1	CSTF1	CUL1	CUL2	CUL4A	DCAF8	DDB2	DMXL1	DPF2	EED	EML3	EML4	GEMIN5	GNB1	GNB2	GNB4	GTF3C1	HECTD3	ITCH	KCTD3	LLGL2	MED16	MED8	MIOS	MLST8	MPP7	NAE1	NEDD1	NEDD4	NEDD4L	NOL10	NUP37	NUP43	NUP62	PAAF1	PHF14	PHRF1	PIAS3	PLRG1	PPIL2	PPP2R2A	PWP1	RAE1	RBP2	RMND5A	RNF121	RNF126	RNF128	RNF170	RNF25	SAE1	SART1	SCAF11	SEC31A	SENP1	SMU1	SRM	SSR3	STRN	THOC3	TRIM65	TSG101	UBA1	UBA2	UBA3	UBA5	UBA6	UBE2A	UBE2C	UBE2D1	UBE2D2	UBE2E3	UBE2G1	UBE2G2	UBE2H	UBE2I	UBE2T	UBE2Z	UBR1	UCHL1	UCHL3	UFC1	USP3	USP32	USP47	UTP15	VPS41	WDR1	WDR11	WDR12	WDR13	WDR18	WDR3	WDR36	WDR4	WDR44	WDR55	WDR6	WDR61	WDR70	WDR92
Virus 2h_1	Virus	SARS_COV_2_2h 	32.1089	409.808	200.189	26.5997	338.493	1200.03	21.1083	2664.7	7812.82	5312.79	626.742	2859.67	765.106	1518.53	381.068	1471.57	1195.1	672.993	104.649	338.083	111.385	124.245	250.877	57.8892	3178.38	1367.56	271.435	270.294	4.68182	313.645	51.3111	310.995	24.9637	622.022	148.054	73.7714	31.4252	51.7238	73.8292	686.219	26.9695	1280.25	323.383	299.714	573.286	366.128	1072.91	139.396	86.0625	88.8187	132.731	314.655	94.4084	859.674	185.513	691.881	503.115	94.74	105.306	23.1532	26.242	59.9251	51.6865	2639.13	675.651	1277.36	2897.64	19.2371	1210.58	593.942	530.937	389.559	658.683	28.6774	790.52	7576.13	2634.8	365.692	287.702	2581.61	126.079	416.335	144.619	350.616	65.7891	114.644	526.945	324.522	1357.63	129.372	461.519	215.771	2442.27	1069.3	678.422	52.605	51.3652	649.145	488.867	80.9232	7500.8	801.512	964.277	189.025	141.959	796.45	461.941	175.429	322.354	158.813	21.4733	1133.67	154.835	184.336
Virus 2h_2	Virus	SARS_COV_2_2h 	34.6072	399.464	171.858	26.4979	325.053	1226.37	26.2203	2728	7781.1	5242.59	603.096	2770.16	740.981	1509.89	366.421	1444.07	1174.77	603.461	117.381	341.338	117.586	124.914	250.91	53.6775	3243.74	1374.53	256.978	269.27	2.90342	330.579	44.2716	303.447	24.5543	607.306	131.633	56.8322	24.2959	46.7788	65.2317	648.505	33.4215	1260.52	338.904	293.618	585.244	396.199	1065.26	157.658	87.5967	95.4346	137.27	324.458	101.444	826.336	177.079	642.464	534.091	95.905	106.641	18.9106	28.9455	69.8162	62.1083	2657.16	678.66	1320.24	2865.65	22.6377	1183.04	576.604	473.322	400.973	649.729	27.9498	776.146	7436.21	2601.33	374.53	278.523	2621.22	120.483	438.365	137.21	356.21	72.3117	109.794	531.8	337.711	1387.94	140.672	491.807	213.792	2429.39	994.423	656.212	52.091	50.8124	674.245	493.336	84.1752	7306.25	810.632	858.868	183.808	148.578	807.166	480.091	174.849	288.975	137.854	23.4475	1076.98	133.341	180.237
Virus 2h_3	Virus	SARS_COV_2_2h 	23.4855	395.483	176.698	31.4447	361.254	1309.6	27.1334	2830.08	7741.41	5124.8	581.821	2694.06	801.59	1476.22	349.939	1437.02	1215.07	605.544	106.184	301.866	121.311	134.665	243.348	47.728	3090.97	1404.11	241.093	267.52	6.30144	305.531	48.6676	337.199	27.3193	601.14	148.154	73.7139	30.7976	52.489	71.6961	641.532	39.1509	1259.93	374.472	290.596	576.053	413.398	1086.64	128.778	92.8028	91.4083	132.177	333.292	95.6264	836.299	181.926	718.971	548.508	103.53	103.497	18.0742	32.4222	66.6884	56.6742	2654.37	616.532	1315.33	2781.89	15.341	1259.56	578.255	517.43	394.878	648.371	27.0769	772.564	7706.8	2697.82	361.167	254.448	2590.07	126.345	454.153	142.417	342.857	102.041	122.482	600.379	336.762	1363.58	145.291	470.745	201.593	2617.81	1040.41	702.001	51.8079	50.383	634.889	523.617	76.6069	7303.6	767.533	832.767	171.698	135.492	827.04	481.763	168.398	309.816	136.053	27.5171	1077.22	132.018	169.09
Virus 6h_1	Virus	SARS_COV_2_6h	31.8319	412.803	203.442	27.1723	329.009	1255.72	22.432	2815.04	7840.6	5246.63	604.419	2902.44	739.13	1506.92	401.292	1401.54	1163.32	630.371	99.0507	327.079	99.5853	134.64	235.077	56.995	3164.55	1405.88	298.649	290.08	2.64266	306.033	51.6441	316.128	23.9045	626.592	140.217	83.1155	30.7895	44.0363	72.5331	673.478	26.5521	1243.4	343.989	291.338	553.406	368.3	1031.49	136.23	89.4081	87.4444	134.308	330.372	95.316	846.091	194.448	699.883	550.78	109.664	96.321	27.8688	26.5886	58.4995	51.7725	2752.99	669.809	1276.42	2952.8	15.4042	1173.19	607.597	493.132	410.377	617.929	26.3296	804.056	7544.16	2789.02	361.211	296.784	2569.1	123.976	412.187	152.099	366.541	68.9248	115.722	552.246	371.908	1361.2	127.619	476.647	207.801	2384.76	1029.24	702.647	55.3948	40.6152	657.274	493.791	72.3477	7491.24	773.876	827.231	187.7	146.832	790.758	455.89	166.324	323.585	145.041	24.0137	1176.15	134.739	169.529
Virus 6h_2	Virus	SARS_COV_2_6h	28.6159	388.032	171.468	25.8635	303.768	1192.2	23.864	2737.18	7810.91	5255.61	573.842	2952.65	757.821	1498.6	364.67	1371.88	1165.71	616.239	113.947	315.179	108.028	124.503	234.947	65.9799	3236.14	1311.61	257.848	291.777	3.02875	323.92	45.7542	279.589	20.8458	595.141	138.467	69.5187	24.9509	47.3114	57.2026	615.542	29.9858	1241.73	297.512	290.704	546.024	366.977	1042.35	151.783	83.6722	81.4726	133.767	302.564	90.88	785.55	196.854	627.969	524.375	95.9364	100.512	18.878	29.5877	61.5635	58.1521	2647.15	660.261	1218.54	2910	16.8998	1134.59	566.283	514.677	379.48	627.08	25.8138	815.726	7583.43	2535.72	374.491	288.3	2559.18	131.843	397.345	130.36	353.598	71.6917	110.687	526.55	341.36	1450.07	132.54	486.009	202.498	2296.83	965.377	651.717	54.6761	45.4286	667.519	503.878	73.1757	7626.26	830.859	780.968	173.377	142.994	780.139	448.435	155.634	296.852	150.104	22.1866	1031.4	126.12	161.802
Virus 6h_3	Virus	SARS_COV_2_6h	26.2517	402.738	196.337	29.0149	322.288	1244.95	23.8387	2823.95	7692.21	5144.07	576.7	2890.4	757.12	1450.04	367.122	1402.95	1191.82	579.274	108.437	308.858	99.3737	133.379	230.632	49.7042	3162.66	1339.79	259.781	283.016	4.63979	322.729	48.753	313.435	24.8564	570.789	141.529	72.1903	28.9352	57.1216	65.1633	622.383	44.6062	1276.13	350.393	282.772	549.81	381.315	1006.81	122.062	86.9741	88.1658	129.803	317.281	86.4633	783.579	185.55	628.938	529.255	96.1979	105.406	18.0591	29.5795	63.7144	53.2081	2675.36	625.341	1256.71	2821.13	11.6948	1158.38	569.414	482.28	360.661	581.66	26.2705	797.47	7383.69	2670.78	374.272	282.313	2543.27	118.237	399.919	146.515	352.76	77.4434	119.808	536.218	352.617	1350.23	140.465	472.062	216.479	2260.92	1032.13	668.16	55.3922	47.6582	662.492	488.744	71.0676	7559.82	778.705	791.268	169.718	143.115	785.339	458.628	170.53	296.647	142.645	26.2154	1090.48	130.06	156.31
Virus 10h_1	Virus	SARS_COV_2_10h	30.016	399.055	206.293	25.2407	318.273	1217.3	20.0419	2838.28	7744.46	5335.23	588.31	2973.72	765.412	1493.64	418.153	1416.33	1222.63	676.507	102.643	315.839	96.8407	137.043	225.435	54.5559	3257.69	1470.08	251.367	244.037	4.64352	325.885	53.5122	321.863	23.8535	631.172	134.589	80.1195	32.9441	53.9241	66.6053	671.729	27.9499	1303.29	351.731	314.818	557.935	363.138	1063.07	150.502	98.7394	92.2246	140.807	336.808	92.7132	835.703	205.617	712.525	548.044	102.067	103.592	30.4316	27.0284	55.0185	56.2094	2695.64	680.125	1286.95	3036.24	17.5048	1216.93	624.324	497.908	402.793	643.106	23.3053	793.843	7415.73	2746.62	362.529	289.085	2542.62	134.156	422.769	160.374	360.296	81.5237	116.6	537.599	398.182	1382.02	132.804	490.286	210.872	2366.21	1027.42	709.658	56.024	37.1418	661.522	551.916	78.5949	7612.93	795.519	849.312	193.515	146.518	823.471	478.598	179.369	316.27	143.716	24.0727	1166.07	153.208	163.231
Virus 10h_2	Virus	SARS_COV_2_10h	31.5789	397.909	178.19	23.6102	314.802	1241.53	26.0456	2848.49	7858.98	5268.95	593.519	2865.7	744.896	1475.77	370.152	1417.01	1244.21	661.66	116.835	317.76	120.136	124.59	255.657	56.6384	3270.08	1393.66	240.392	276.441	4.00386	345.267	43.2583	307.031	23.6814	604.022	124.572	59.0213	24.0849	48.032	58.9959	653.218	30.9346	1278.69	356.236	308.255	581.539	374.157	1101.37	155.561	99.2652	91.2556	141.686	329.935	98.2115	820.142	198.496	648.306	540.713	100.727	101.293	16.1301	27.3214	59.8003	68.2626	2732.2	672.358	1259.73	2908.44	14.5927	1169.01	611.357	468.601	387.235	620.277	23.5161	820.626	7459.77	2687.23	381.942	282.021	2574.9	130.755	412.319	148.302	394.849	89.4133	107.898	531.633	375.466	1405.13	131.968	483.572	199.84	2321.03	1006.02	678.716	51.3661	54.281	669.235	537.063	83.8522	7552.04	829.92	830.417	187.739	160	820.913	518.492	181.211	288.339	147.412	24.3141	1055.74	136.388	172.471
Virus 10h_3	Virus	SARS_COV_2_10h	29.0902	403.739	202.506	22.5618	301.172	1247.03	31.5899	2651.86	7757.34	5366.45	582.054	2930.74	740.771	1492.81	373.185	1411.54	1213.51	609.261	108.222	311.166	112.581	103.141	228.153	55.9102	3081.03	1312.03	264.812	275.941	5.23163	342.747	49.6231	303.234	24.9793	621.73	125.412	63.6702	27.3125	49.2794	70.1048	645.347	19.2759	1315.45	336.985	291.995	563.001	383.904	1016.56	136.1	91.0486	88.7475	123.796	317.576	88.4618	807.538	189.595	599.479	532.63	111.242	111.124	17.7724	27.1515	62.1749	60.4837	2663.62	614.983	1179.72	2913.68	13.8226	1104.87	617.307	480.203	372.866	593.086	26.0018	783.858	7341.24	2616.99	347.654	250.946	2649.13	125.008	374.531	161.886	356.081	77.002	112.346	526.517	378.492	1343.93	112.507	492	218.247	2428.25	1043.76	671.411	56.0823	50.3986	633.235	503.947	72.0861	7793.06	756.126	781.901	181.869	138.406	735.054	456.265	174.067	348.481	152.07	22.5996	1061.94	133.154	165.283
Virus 24h_1	Virus	SARS_COV_2_24h	31.7405	464.559	192.205	27.6042	288.265	1398.5	18.6644	2929.34	7650.91	5336.64	572.199	2934.63	649.779	1328.58	444.718	1505.53	1150.83	778.038	92.0622	323.212	99.6214	136.773	257.993	71.7111	3312.28	1534.37	296.417	321.134	3.95495	330.635	53.2241	329.753	39.1341	636.826	128.54	68.2169	25.5047	56.2146	73.9055	703.655	30.502	1210.93	274.208	312.852	568.071	414.447	1118.49	146.531	100.414	87.4575	155.264	338.542	87.7678	807.987	201.059	764.407	605.535	92.5012	103.886	21.8063	25.242	60.4326	104.665	2920.6	698.136	1295.84	2903.01	17.0423	1212.75	578.613	569.095	414.251	695.323	23.6638	687.198	7626.67	2823.52	371.106	291.881	2661.14	144.032	352.409	159.07	319.875	89.1901	103.541	538.352	308.62	1464.03	134.718	454.513	206.439	2650.86	929.805	659.108	61.5293	38.4496	652.945	562.201	81.6825	7522.48	821.933	936.479	194.991	151.333	835.516	486.733	184.908	440.171	186.295	24.566	1103.23	210.983	175.079
