	Histologic_origin	AVE_Ubi	Ubi_level	ATG10	ATG7	CDC20	CUL1	DDB2	ELOB	GTF3C1	HERC6	ITCH	MDM2	PPP2R2C	REN	RNF43	SPOP	TAF3	UBA7	UBE2C	UBE2T	VHL	WDR76
GSM5556214	Bladder	105.282395	low	102.90273	102.18186	70.38455	120.49693	104.83553	144.08262	78.67497	83.91309	73.17293	84.65954	160.41737	167.70272	98.90089	103.69451	95.80965	111.03118	128.0234	89.22888	93.02012	92.51443
GSM5556215	Bladder	105.651412	low	89.18639	88.92256	72.43572	124.88642	104.13451	145.36671	81.62208	71.5095	95.20279	96.63006	165.01999	152.92136	111.15081	106.41856	90.8307	125.85568	135.57406	81.4713	88.63817	85.25087
GSM5556175	Heart	105.4845975	low	104.05021	124.52921	83.07617	113.40978	93.572	144.13357	101.87409	98.09693	92.16195	92.11463	130.14041	129.09817	109.53115	104.77389	109.33199	103.93444	95.53896	93.68791	95.91121	90.72528
GSM5556173	Heart	106.5203165	high	98.23827	107.67959	81.43431	119.63288	96.31705	124.77599	88.80053	114.90881	106.46249	79.18593	129.3247	122.27696	120.95909	112.6645	110.60859	133.99685	94.69368	101.24639	105.21268	81.98704
GSM5556174	Heart	107.1964885	high	107.97548	95.43352	88.22392	102.05411	98.07152	126.49951	107.90656	96.19294	115.7848	83.2085	125.80555	121.50857	120.35321	115.37102	101.50007	111.72905	115.31126	117.22507	96.85252	96.92259
GSM5556172	Heart	108.436205	high	84.90639	123.74851	84.22673	114.38341	97.90803	141.50965	114.14689	108.8231	96.84678	85.322	125.49855	115.87494	103.8026	116.80457	96.86519	114.72185	133.91402	117.83527	96.91064	94.67498
GSM5556177	Heart	108.9786975	high	106.47075	105.79227	88.24346	103.96875	89.2107	140.39181	109.50605	107.35139	111.10261	91.22226	137.39574	122.71978	125.51053	113.17422	104.27938	114.42665	106.82519	103.49281	106.54759	91.94201
GSM5556166	Heart	109.392416	high	107.20801	116.66435	89.68974	111.24739	106.47843	161.15297	120.36783	111.27825	113.53906	91.72705	122.01247	112.15267	105.31361	117.89729	102.12136	106.55192	88.58491	108.47016	108.57719	86.81366
GSM5556168	Heart	109.7786715	high	121.47713	109.63471	93.0329	108.75575	103.53202	142.86888	109.32265	111.73599	109.3252	91.57897	123.44461	122.97125	110.22541	113.96944	111.61329	115.17125	118.78513	96.9936	97.23452	83.90073
GSM5556171	Heart	110.0745495	high	114.7701	105.74766	91.35069	102.45042	100.62976	156.76672	118.50406	104.18107	116.54712	98.75189	123.32583	116.67184	115.7658	111.87676	117.24409	109.92774	94.09899	102.01748	111.25766	89.60531
